,UniProt ID,Synonyms
279,P38117,"['MADD', 'ETFB', 'FP585', 'Beta-ETF', 'Electron transfer flavoprotein subunit beta', 'electron transfer flavoprotein subunit beta']"
280,Q8WV93,"['c222389', 'AFG1-like ATPase', 'EC 3.6.-.-', 'Lactation elevated protein 1', 'AFG1', 'AFG1 like ATPase', 'AFG1L', 'LACE1', 'Protein AFG1 homolog']"
281,Q9UII2,"['ATP synthase F1 subunit epsilon', 'ATPI', 'Inhibitor of F(1)F(o)-ATPase', 'ATPIP', 'ATP5IF1', 'IP', 'ATPIF1', 'IF1', 'IF(1)', 'ATP synthase inhibitory factor subunit 1', 'ATPase inhibitor, mitochondrial']"
282,P24539,"['ATP synthase proton-transporting mitochondrial F(0) complex subunit B1', 'ATP5F1', 'ATP synthase peripheral stalk-membrane subunit b', 'ATPase subunit b', 'PIG47', 'ATP synthase F(0) complex subunit B1, mitochondrial', 'ATP5PB', 'ATP synthase subunit b']"
283,P15954,"['cytochrome c oxidase subunit 7C', '-', 'Cytochrome c oxidase subunit 7C, mitochondrial', 'COX7C', 'Cytochrome c oxidase polypeptide VIIc']"
284,Q9NX63,"['MICOS complex subunit MIC19', 'MINOS3', 'Coiled-coil-helix-coiled-coil-helix domain-containing protein 3', 'coiled-coil-helix-coiled-coil-helix domain containing 3', 'PPP1R22', 'MICOS19', 'CHCHD3', 'Mic19']"
285,Q9H8M1,"['coenzyme Q10B', 'COQ10B', '-', 'Coenzyme Q-binding protein COQ10 homolog B, mitochondrial']"
286,Q4G176,"['EC 6.2.1.n3', 'ACSF3', '-', 'Acyl-CoA synthetase family member 3', 'Malonate--CoA ligase ACSF3, mitochondrial', 'acyl-CoA synthetase family member 3']"
287,Q9Y2S7,"['p38', '38 kDa DNA polymerase delta interaction protein', 'POLDIP2', 'POLD4', 'DNA polymerase delta interacting protein 2', 'Polymerase delta-interacting protein 2', 'PDIP38']"
288,Q9UBX3,"['DIC', 'SLC25A10', 'Mitochondrial dicarboxylate carrier', 'MTDPS19', 'Solute carrier family 25 member 10', 'solute carrier family 25 member 10']"
289,Q9UJS0,"['CITRIN', 'CTLN2', 'NICCD', 'Solute carrier family 25 member 13', 'SLC25A13', 'Citrin', 'Mitochondrial aspartate glutamate carrier 2', 'ARALAR2', 'solute carrier family 25 member 13', 'Calcium-binding mitochondrial carrier protein Aralar2']"
290,Q15120,"['GS1-358P8.4', 'CMTX6', '[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial', 'Pyruvate dehydrogenase kinase isoform 3', 'PDK3', 'EC 2.7.11.2', 'pyruvate dehydrogenase kinase 3']"
291,Q16798,"['NADP-ME', 'EC 1.1.1.40', 'NADP-dependent malic enzyme, mitochondrial', 'ME3', 'malic enzyme 3', 'Malic enzyme 3']"
292,Q9NWU5,"['RPML25', 'MRPL22', 'MRP-L25', 'Mitochondrial large ribosomal subunit protein uL22m', 'HSPC158', 'L25mt', '39S ribosomal protein L25, mitochondrial', 'L22mt', '39S ribosomal protein L22, mitochondrial', 'mitochondrial ribosomal protein L22', 'MRP-L22']"
293,P48735,"['Oxalosuccinate decarboxylase', 'IDHM', 'IDH', 'ICD-M', 'IDH2', 'mNADP-IDH', 'isocitrate dehydrogenase (NADP(+)) 2', 'IDP', 'IDPM', 'EC 1.1.1.42', 'D2HGA2', 'Isocitrate dehydrogenase [NADP], mitochondrial', 'NADP(+)-specific ICDH']"
294,Q92947,"['glutaryl-CoA dehydrogenase', 'Glutaryl-CoA dehydrogenase, mitochondrial', 'EC 1.3.8.6', 'GCDH', 'GCD', 'ACAD5']"
295,Q9HD33,"['CGI-204', 'MRP-L47', 'mitochondrial ribosomal protein L47', 'MRPL47', 'NCM1', '39S ribosomal protein L47, mitochondrial', 'Nasopharyngeal carcinoma metastasis-related protein 1', 'Mitochondrial large ribosomal subunit protein uL29m', 'L47mt']"
296,Q9H2U2,"['inorganic pyrophosphatase 2', 'HSPC124', 'PPA2', 'SCFI', 'SID6-306', 'Pyrophosphate phospho-hydrolase 2', 'PPase 2', 'SCFAI', 'Pyrophosphatase SID6-306', 'EC 3.6.1.1', 'Inorganic pyrophosphatase 2, mitochondrial']"
297,Q9BYD2,"['39S ribosomal protein L9, mitochondrial', 'MRP-L9', 'L9mt', 'Mitochondrial large ribosomal subunit protein bL9m', 'mitochondrial ribosomal protein L9', 'MRPL9']"
298,Q8WYQ3,"['IMMD', 'CHCHD10', 'SMAJ', 'C22orf16', 'coiled-coil-helix-coiled-coil-helix domain containing 10', 'Protein N27C7-4', 'Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial', 'N27C7-4', 'FTDALS2', 'MIX17A']"
299,Q9UGM6,"['mtTrpRS', 'Tryptophanyl-tRNA synthetase', 'Tryptophan--tRNA ligase, mitochondrial', 'NEMMLAS', 'TrpRS', 'tryptophanyl tRNA synthetase 2, mitochondrial', 'WARS2', 'EC 6.1.1.2', '(Mt)TrpRS']"
300,Q9HC21,"['THMD3', 'SLC25A19', 'Mitochondrial thiamine pyrophosphate carrier', 'MUP1', 'solute carrier family 25 member 19', 'THMD4', 'TPC', 'DNC', 'Solute carrier family 25 member 19', 'Mitochondrial uncoupling protein 1', 'MCPHA']"
301,Q8N4T8,"['Carbonyl reductase family member 4', 'Short chain dehydrogenase/reductase family 45C member 1', 'EC 1.1.1.100', 'CBR4', 'EC 1.6.5.10', '3-ketoacyl-[acyl-carrier-protein] reductase beta subunit', 'SDR45C1', 'Quinone reductase CBR4', 'carbonyl reductase 4', 'KAR beta subunit', '3-oxoacyl-[acyl-carrier-protein] reductase']"
302,Q9H4I9,"['single-pass membrane protein with aspartate rich tail 1', 'EMRE', 'C22orf32', 'DDDD', 'Essential MCU regulator, mitochondrial', 'SMDT1', 'Single-pass membrane protein with aspartate-rich tail 1, mitochondrial']"
303,Q16775,"['Glyoxalase II', 'Hydroxyacylglutathione hydrolase, mitochondrial', 'hydroxyacylglutathione hydrolase', 'HAGH1', 'EC 3.1.2.6', 'Glx II', 'GLO2', 'GLXII', 'HAGH', 'GLX2']"
304,P24310,"['COX7A1', 'COX7A', 'COX7AM', 'Cytochrome c oxidase subunit VIIa-M', 'Cytochrome c oxidase subunit VIIa-heart', 'Cytochrome c oxidase subunit VIIa-H', 'Cytochrome c oxidase subunit VIIa-muscle', 'Cytochrome c oxidase subunit 7A1, mitochondrial', 'cytochrome c oxidase subunit 7A1', 'COX7AH']"
305,Q9BT17,"['GTP', 'mitochondrial ribosome associated GTPase 1', 'Mitochondrial GTPase 1', 'GTPBP7', 'GTP-binding protein 7', 'Mitochondrial ribosome-associated GTPase 1', 'MTG1']"
306,Q96I36,"['Cytochrome c oxidase assembly protein COX14', 'PCAG1', 'cytochrome c oxidase assembly factor COX14', 'COX14', 'C12orf62']"
307,Q9UI09,"['NADH:ubiquinone oxidoreductase subunit A12', 'CIB17.2', 'B17.2', 'MC1DN23', '13 kDa differentiation-associated protein', 'NDUFA12', 'Complex I-B17.2', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12', 'NADH-ubiquinone oxidoreductase subunit B17.2', 'DAP13', 'CI-B17.2']"
308,Q9Y3D3,"['S16mt', 'MRPS16', 'Mitochondrial small ribosomal subunit protein bS16m', 'COXPD2', '28S ribosomal protein S16, mitochondrial', 'CGI-132', 'mitochondrial ribosomal protein S16', 'RPMS16', 'MRP-S16']"
309,Q49AM1,"['mTERFL', 'mTERF2', 'Transcription termination factor 2, mitochondrial', 'mTERF-like', 'mitochondrial transcription termination factor 2', 'MTERFD3', 'mTERF domain-containing protein 3, mitochondrial', 'Mitochondrial transcription termination factor-like protein', 'Mitochondrial transcription termination factor 2', 'MTERF2']"
310,Q6IPR1,"['ETFRF1', 'electron transfer flavoprotein regulatory factor 1', 'LYR motif-containing protein 5', 'Electron transfer flavoprotein regulatory factor 1', 'LYRM5']"
311,P43304,"['mGDH', 'GPDH-M', 'mtGPD', 'EC 1.1.5.3', 'GPD2', 'glycerol-3-phosphate dehydrogenase 2', 'GDH2', 'GPD-M', 'mitohondrial glycerophosphate dehydrogenase gene', 'Glycerol-3-phosphate dehydrogenase, mitochondrial', 'GPDM', 'mGPDH']"
312,O95299,"['Complex I-42kD', 'CI-42k', 'CI-42kD', 'MC1DN22', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial', 'CI-42KD', 'NDUFA10', 'NADH:ubiquinone oxidoreductase subunit A10', 'NADH-ubiquinone oxidoreductase 42 kDa subunit']"
313,O95298,"['NADH-ubiquinone oxidoreductase subunit B14.5b', 'NDUFC2', 'Human lung cancer oncogene 1 protein', 'CI-B14.5b', 'NADHDH2', 'NADH:ubiquinone oxidoreductase subunit C2', 'NADH dehydrogenase [ubiquinone] 1 subunit C2', 'Complex I-B14.5b', 'HLC-1', 'B14.5b']"
314,Q9GZT3,"['SRA stem-loop-interacting RNA-binding protein, mitochondrial', 'SRA stem-loop interacting RNA binding protein', 'C14orf156', 'SLIRP', 'PD04872', 'DC50']"
315,P00846,"['F-ATPase protein 6', 'ATPase6', 'ATP synthase F0 subunit 6', 'MT-ATP6', 'ATP synthase subunit a', 'MTATP6']"
316,P00403,"['Cytochrome c oxidase polypeptide II', 'COII', 'EC 7.1.1.9', 'cytochrome c oxidase subunit II', 'MT-CO2', 'Cytochrome c oxidase subunit 2', 'MTCO2']"
317,Q9BVV7,"['TIM21', 'TIMM21', 'C18orf55', 'HSPC154', 'translocase of inner mitochondrial membrane 21', 'TIM21-like protein, mitochondrial', 'Mitochondrial import inner membrane translocase subunit Tim21']"
318,P51970,"['CI-19KD', 'NADH:ubiquinone oxidoreductase subunit A8', 'CI-19kD', 'CI-PGIV', 'PGIV', 'NDUFA8', 'Complex I-19kD', 'Complex I-PGIV', 'NADH-ubiquinone oxidoreductase 19 kDa subunit', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8']"
319,O94925,"['AAD20', 'glutaminase', 'KGA', 'K-glutaminase', 'GLS1', 'EIEE71', 'Glutaminase kidney isoform, mitochondrial 65 kDa chain', 'GDPAG', 'L-glutamine amidohydrolase', 'GAM', 'EC 3.5.1.2', 'Glutaminase kidney isoform, mitochondrial 68 kDa chain', 'GLS', 'CASGID', 'Glutaminase kidney isoform, mitochondrial', 'GAC']"
320,Q9NX14,"['Np15', 'NADH:ubiquinone oxidoreductase subunit B11', 'ESSS', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial', 'Neuronal protein 17.3', 'NP17.3', 'Np17.3', 'p17.3', 'MC1DN30', 'NDUFB11', 'P17.3', 'NADH-ubiquinone oxidoreductase ESSS subunit', 'Complex I-ESSS', 'CI-ESSS']"
321,Q96HY7,"['EC 1.2.4.2', 'Dehydrogenase E1 and transketolase domain-containing protein 1', 'Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial', 'AMOXAD', 'DHTKD1', 'dehydrogenase E1 and transketolase domain containing 1', 'CMT2Q']"
322,Q96GK7,"['EC 3.-.-.-', 'Fumarylacetoacetate hydrolase domain-containing protein 2A', 'CGI-105', 'FAHD2A', 'fumarylacetoacetate hydrolase domain containing 2A']"
323,Q92506,"['EC 1.1.1.62', 'Ke6', 'hydroxysteroid 17-beta dehydrogenase 8', 'KAR alpha subunit', 'H2-KE6', 'FABG', 'EC 1.1.1.239', 'HSD17B8', 'Protein Ke6', 'RING2', '17-beta-hydroxysteroid dehydrogenase 8', 'SDR30C1', 'Estradiol 17-beta-dehydrogenase 8', 'KE6', 'dJ1033B10.9', 'EC 1.1.1.n12', 'D6S2245E', '3-oxoacyl-[acyl-carrier-protein] reductase', '(3R)-3-hydroxyacyl-CoA dehydrogenase', '3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit', 'Testosterone 17-beta-dehydrogenase 8', 'Short chain dehydrogenase/reductase family 30C member 1', 'FABGL', 'HKE6', '17-beta-HSD 8']"
324,Q9BX68,"['HIT-17', 'HINT-2', 'EC 3.-.-.-', 'PKCI-1-related HIT protein', 'Histidine triad nucleotide-binding protein 2, mitochondrial', 'HIT-17kDa', 'histidine triad nucleotide binding protein 2', 'HINT-3', 'HINT2']"
325,P82675,"['28S ribosomal protein S5, mitochondrial', 'MRP-S5', 'S5mt', 'Mitochondrial small ribosomal subunit protein uS5m', 'mitochondrial ribosomal protein S5', 'MRPS5']"
326,Q5SQH8,"['chromosome 6 open reading frame 136', 'C6orf136', 'Uncharacterized protein C6orf136', '-']"
327,Q8WW59,"['SPRY domain containing 4', 'SPRYD4', '-', 'SPRY domain-containing protein 4']"
328,A6NK58,"['-', 'Lipoyl/octanoyl transferase', 'LIPT2', 'Lipoate-protein ligase B', 'Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase', 'EC 2.3.1.181', 'lipoyl(octanoyl) transferase 2', 'Putative lipoyltransferase 2, mitochondrial']"
329,Q16698,"['2,4-dienoyl-CoA reductase [NADPH]', 'DECR', 'DECR1', 'EC 1.3.1.124', 'NADPH', '4-enoyl-CoA reductase [NADPH]', 'SDR18C1', '2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial', '2,4-dienoyl-CoA reductase 1', 'Short chain dehydrogenase/reductase family 18C member 1']"
330,Q9BYN8,"['MRP-S13', 'S13mt', 'C20orf193', '28S ribosomal protein S26, mitochondrial', 'NY-BR-87', 'mitochondrial ribosomal protein S26', 'MRPS26', '28S ribosomal protein S13, mitochondrial', 'MRP-S26', 'Mitochondrial small ribosomal subunit protein mS26', 'S26mt', 'GI008', 'dJ534B8.3', 'MRPS13', 'RPMS13']"
331,Q9Y619,"['D13S327', 'SLC25A15', 'ORNT1', 'Mitochondrial ornithine transporter 1', 'HHH', 'ORC1', 'LNC-HC', 'Solute carrier family 25 member 15', 'solute carrier family 25 member 15']"
332,P56181,"['CI-9kD', 'CI-9KD', 'NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial', 'NADH:ubiquinone oxidoreductase subunit V3', 'Renal carcinoma antigen NY-REN-4', 'NADH-ubiquinone oxidoreductase 9 kDa subunit', 'Complex I-9kD', 'CI-10k', 'NDUFV3']"
333,Q86WA6,"['Bph-rp', 'Valacyclovir hydrolase', 'BPHL', 'Valacyclovirase', 'Biphenyl hydrolase-related protein', 'biphenyl hydrolase like', 'VACVASE', 'BPH-RP', 'EC 3.1.-.-', 'VACVase', 'MCNAA', 'Breast epithelial mucin-associated antigen', 'Biphenyl hydrolase-like protein']"
334,Q9UJZ1,"['stomatin like 2', 'Paratarg-7', 'Paraprotein target 7', 'SLP-2', 'STOML2', 'EPB72-like protein 2', 'HSPC108', 'Stomatin-like protein 2, mitochondrial']"
335,Q9Y3D2,"['CBS1', 'MsrB2', 'PILB', 'EC 1.8.4.14', 'methionine sulfoxide reductase B2', 'CBS-1', 'EC 1.8.4.12', 'CGI-131', 'MSRB', 'Methionine-R-sulfoxide reductase B2, mitochondrial', 'MSRB2']"
336,P83111,"['MRPL56', 'G24', 'lactamase beta', 'LACTB', 'Serine beta-lactamase-like protein LACTB, mitochondrial', 'EC 3.4.-.-']"
337,O96008,"['D19S1177E', 'TOM40', 'PER-EC1', 'translocase of outer mitochondrial membrane 40', 'Translocase of outer membrane 40 kDa subunit homolog', 'Mitochondrial import receptor subunit TOM40 homolog', 'C19orf1', 'p38.5', 'PEREC1', 'TOMM40', 'Protein Haymaker']"
338,Q6KCM7,"['MCSC', 'PCSCL', 'solute carrier family 25 member 25', 'SLC25A25', 'Mitochondrial ATP-Mg/Pi carrier protein 3', 'Calcium-binding mitochondrial carrier protein SCaMC-2', 'Solute carrier family 25 member 25', 'Small calcium-binding mitochondrial carrier protein 2', 'Mitochondrial Ca(2+)-dependent solute carrier protein 3', 'SCAMC-2']"
339,Q3MIX3,"['aarF domain containing kinase 5', '-', 'ADCK5', 'Uncharacterized aarF domain-containing protein kinase 5', 'EC 2.7.11.-']"
340,Q6JQN1,"['-', 'acyl-CoA dehydrogenase family member 10', 'ACAD10', 'ACAD-10', 'Acyl-CoA dehydrogenase family member 10', 'EC 1.3.99.-']"
341,A3KMH1,"['KIAA0564', 'P7BP2', 'von Willebrand factor A domain-containing protein 8', 'von Willebrand factor A domain containing 8', 'VWA8', 'PEX7-binding protein 2']"
342,Q9GZT6,"['CCDC90B', 'coiled-coil domain containing 90B', 'MDS025', 'MDS011', 'Coiled-coil domain-containing protein 90B, mitochondrial']"
343,Q9NVH1,"['DnaJ homolog subfamily C member 11', 'dJ126A5.1', 'DnaJ heat shock protein family (Hsp40) member C11', 'DNAJC11']"
344,Q9BT30,"['UNQ6002', 'EC 1.14.11.-', 'SPATA11', 'Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial', 'Alkylated DNA repair protein alkB homolog 7', 'Spermatogenesis-associated protein 11', 'Spermatogenesis cell proliferation-related protein', 'ALKBH7', 'ABH7', 'alkB homolog 7']"
345,P23378,"['GCE', 'Glycine dehydrogenase (decarboxylating), mitochondrial', 'GLDC', 'glycine decarboxylase', 'HYGN1', 'Glycine decarboxylase', 'Glycine dehydrogenase (aminomethyl-transferring)', 'EC 1.4.4.2', 'GCSP', 'Glycine cleavage system P protein']"
346,P0DKB6,"['Mitochondrial pyruvate carrier 1-like protein', 'SLC54A3', 'MPC1L', 'mitochondrial pyruvate carrier 1 like']"
347,Q5T1C6,"['Acyl-CoA thioesterase THEM4', 'thioesterase superfamily member 4', 'Carboxyl-terminal modulator protein', 'Thioesterase superfamily member 4', 'Acyl-coenzyme A thioesterase THEM4', 'CTMP', 'THEM4', 'EC 3.1.2.2']"
348,Q04837,"['mtSSB', 'Mt-SSB', 'MtSSB', 'PWP1-interacting protein 17', 'single stranded DNA binding protein 1', 'SSBP1', 'Single-stranded DNA-binding protein, mitochondrial', 'SOSS-B1', 'SSBP']"
349,Q9P0M9,"['MRP-L27', 'L27mt', 'mitochondrial ribosomal protein L27', 'Mitochondrial large ribosomal subunit protein bL27m', '39S ribosomal protein L27, mitochondrial', 'MRPL27']"
350,Q8IWL3,"['HSC20', 'Iron-sulfur cluster co-chaperone protein HscB', 'JAC1', 'Iron-sulfur cluster co-chaperone protein HscB, mitochondrial', 'HSCB', 'Iron-sulfur cluster co-chaperone protein HscB, cytoplasmic', 'C-HSC20', 'HscB mitochondrial iron-sulfur cluster cochaperone', 'DNAJC20', 'DnaJ homolog subfamily C member 20']"
351,P82664,"['MRP-S10', 'MRPS10', 'mitochondrial ribosomal protein S10', 'S10mt', 'PNAS-122', '28S ribosomal protein S10, mitochondrial', 'Mitochondrial small ribosomal subunit protein uS10m']"
352,P27144,"['AK3L2', 'EC 2.7.4.6', 'Adenylate kinase 3-like', 'EC 2.7.4.10', 'Adenylate kinase 4, mitochondrial', 'AK3L1', 'AK3', 'AK4', 'adenylate kinase 4', 'GTP:AMP phosphotransferase AK4', 'AK 4']"
353,Q9NVI7,"['HAYOS', 'PHRINL', 'ATPase family AAA domain containing 3A', 'ATAD3A', 'ATPase family AAA domain-containing protein 3A']"
354,Q9BZE1,"['L37mt', 'mitochondrial ribosomal protein L37', 'Mitochondrial large ribosomal subunit protein mL37', 'L2mt', 'MRP-L37', 'MRP-L2', '39S ribosomal protein L37, mitochondrial', 'MRPL37', '39S ribosomal protein L2, mitochondrial', 'MRPL2', 'RPML2']"
355,Q9H7Z7,"['Prostaglandin E synthase 2', 'GBF-1', 'PGES2', 'prostaglandin E synthase 2', 'C9orf15', 'Prostaglandin E synthase 2 truncated form', 'PTGES2', 'Prostaglandin-H(2) E-isomerase', 'GBF1', 'Microsomal prostaglandin E synthase 2', 'mPGE synthase-2', 'Membrane-associated prostaglandin E synthase-2', 'mPGES-2', 'EC 5.3.99.3']"
356,Q9NNW7,"['TR-BETA', 'TXNRD2', 'EC 1.8.1.9', 'TRXR2', 'TR3', 'GCCD5', 'Selenoprotein Z', 'TR-beta', 'thioredoxin reductase 2', 'Thioredoxin reductase TR3', 'SELZ', 'Thioredoxin reductase 2, mitochondrial', 'SelZ', 'TR']"
357,Q6NUN0,"['ACSM5', '-', 'Acyl-CoA synthetase medium-chain family member 5', 'acyl-CoA synthetase medium chain family member 5', 'Acyl-coenzyme A synthetase ACSM5, mitochondrial', 'EC 6.2.1.2']"
358,Q9NZ45,"['ZCD1', 'mitoNEET', 'MDS029', 'MitoNEET', 'C10orf70', 'CDGSH iron sulfur domain 1', 'CDGSH iron-sulfur domain-containing protein 1', 'CISD1']"
359,Q8IXM3,"['MRP-L27', 'Mitochondrial large ribosomal subunit protein mL41', 'MRP-L27 homolog', 'mitochondrial ribosomal protein L41', 'PIG3', 'BMRP', 'RPML27', '39S ribosomal protein L41, mitochondrial', 'L41mt', 'Cell proliferation-inducing gene 3 protein', 'MRPL41', 'MRP-L41', 'Bcl-2-interacting mitochondrial ribosomal protein L41', '39S ribosomal protein L27 homolog', 'MRPL27']"
360,Q969Z3,"['mARC2', 'EC 1.7.-.-', 'Molybdenum cofactor sulfurase C-terminal domain-containing protein 2', 'mitochondrial amidoxime reducing component 2', 'Moco sulfurase C-terminal domain-containing protein 2', 'MARC2', 'MOSC2', 'MTARC2', 'Mitochondrial amidoxime reducing component 2', 'MOSC domain-containing protein 2']"
361,P82932,"['mitochondrial ribosomal protein S6', 'C21orf101', 'Mitochondrial small ribosomal subunit protein bS6m', 'RPMS6', 'S6mt', 'MRPS6', 'MRP-S6', '28S ribosomal protein S6, mitochondrial']"
362,Q16540,"['L23mt', 'mitochondrial ribosomal protein L23', 'L23MRP', 'L23 mitochondrial-related protein', 'RPL23L', '39S ribosomal protein L23, mitochondrial', 'Ribosomal protein L23-like', 'MRPL23', 'RPL23', 'MRP-L23', 'Mitochondrial large ribosomal subunit protein uL23m']"
363,Q9Y6N5,"['SQR', 'SQRDL', 'EC 1.8.5.8', 'Sulfide quinone oxidoreductase', 'Sulfide:quinone oxidoreductase, mitochondrial', 'sulfide quinone oxidoreductase', 'SQOR', 'PRO1975', 'Sulfide dehydrogenase-like', 'CGI-44']"
364,O75880,"['Protein SCO1 homolog, mitochondrial', 'SCOD1', 'SCO1', 'synthesis of cytochrome C oxidase 1']"
365,O75600,"['KBL', 'EC 2.3.1.29', 'GCAT', 'glycine C-acetyltransferase', 'AKB ligase', 'Glycine acetyltransferase', '2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial', 'Aminoacetone synthase']"
366,Q6UB35,"['Monofunctional C1-tetrahydrofolate synthase, mitochondrial', 'dJ292B18.2', 'MTHFD1L', 'EC 6.3.4.3', 'Formyltetrahydrofolate synthetase', 'FTHFSDC1', 'methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like', 'MTC1THFS']"
367,O75521,"['Hepatocellular carcinoma-associated antigen 88', 'EC 5.3.3.8', 'DBI-related protein 1', 'Renal carcinoma antigen NY-REN-1', 'ACBD2', 'D3,D2-enoyl-CoA isomerase', 'enoyl-CoA delta isomerase 2', 'pECI', 'Delta(3),delta(2)-enoyl-CoA isomerase', 'HCA88', 'ECI2', 'PECI', 'Enoyl-CoA delta isomerase 2', 'dJ1013A10.3', 'Peroxisomal 3,2-trans-enoyl-CoA isomerase', 'Diazepam-binding inhibitor-related protein 1', 'Dodecenoyl-CoA isomerase', 'DRS1', 'DRS-1']"
368,P14927,"['QP-C', 'Complex III subunit 7', 'MC3DN3', 'UQPC', 'ubiquinol-cytochrome c reductase binding protein', 'UQCR6', 'UQBC', 'QPC', 'UQCRB', 'QCR7', 'UQBP', 'Cytochrome b-c1 complex subunit 7', 'Ubiquinol-cytochrome c reductase complex 14 kDa protein', 'Complex III subunit VII']"
369,O75947,"['ATPase subunit d', 'ATP5PD', 'APT5H', 'ATP synthase peripheral stalk subunit d', 'ATPQ', 'ATP synthase subunit d, mitochondrial', 'ATP5H']"
370,O75964,"['ATP synthase subunit g, mitochondrial', 'ATP5L', 'ATP5MG', 'ATP synthase membrane subunit g', 'ATP5JG', 'ATPase subunit g']"
371,Q4VC31,"['-', 'CCDC58', 'coiled-coil domain containing 58', 'Protein MIX23', 'Coiled-coil domain-containing protein 58']"
372,Q9HCC0,"['EC 6.4.1.4', 'MCCB', 'MCCase subunit beta', '3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit', 'Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial', 'MCCC2', 'methylcrotonoyl-CoA carboxylase 2', '3-methylcrotonyl-CoA carboxylase 2', '3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta']"
373,Q96PE7,"['EC 5.1.99.1', 'GLOD2', 'MCEE', 'DL-methylmalonyl-CoA racemase', 'MCE', 'Methylmalonyl-CoA epimerase, mitochondrial', 'methylmalonyl-CoA epimerase']"
374,Q9NZB8,"['Cell migration-inducing gene 11 protein', 'MOCS1', 'Molybdenum cofactor biosynthesis protein 1', 'EC 4.6.1.17', 'Molybdenum cofactor synthesis-step 1 protein A-B', 'Molybdenum cofactor biosynthesis protein A', 'MOCOD', ""GTP 3',8-cyclase"", 'MIG11', 'Cyclic pyranopterin monophosphate synthase', 'molybdenum cofactor synthesis 1', 'EC 4.1.99.22', 'MOCS1A', 'MOCS1B', 'Molybdenum cofactor biosynthesis protein C']"
375,P22033,"['MUT', 'MMUT', 'MCM', 'EC 5.4.99.2', 'Methylmalonyl-CoA mutase, mitochondrial', 'Methylmalonyl-CoA isomerase', 'methylmalonyl-CoA mutase']"
376,Q9H1U9,"['Mitochondrial NAD(+) transporter SLC25A51', 'CG7943', 'Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A51', 'Mitochondrial carrier triple repeat protein 1', 'Solute carrier family 25 member 51', 'MCART1', 'SLC25A51', 'solute carrier family 25 member 51']"
377,Q9UQ90,"['CAR', 'SPG7 matrix AAA peptidase subunit, paraplegin', 'Spastic paraplegia 7 protein', 'CMAR', 'EC 3.4.24.-', 'SPG5C', 'SPG7', 'Paraplegin', 'PGN', 'Cell matrix adhesion regulator']"
378,P48201,"['ATP5MC3', 'ATPase subunit c', 'ATP synthase proteolipid P3', 'ATPase protein 9', 'ATP5G3', 'ATP synthase membrane subunit c locus 3', 'P3', 'ATP synthase F(0) complex subunit C3, mitochondrial', 'ATP synthase proton-transporting mitochondrial F(0) complex subunit C3', 'ATP synthase lipid-binding protein']"
379,Q8NBU5,"['Thorase', 'Outer mitochondrial transmembrane helix translocase', 'ATAD1', 'EC 7.4.2.-', 'THORASE', 'AFDC1', 'Msp1', 'hATAD1', 'HKPX4', 'ATPase family AAA domain-containing protein 1', 'FNP001', 'ATPase family AAA domain containing 1']"
380,Q96HP4,"['-', 'Oxidoreductase NAD-binding domain-containing protein 1', 'oxidoreductase NAD binding domain containing 1', 'OXNAD1', 'EC 1.-.-.-']"
381,Q9H4K7,"['Protein obg homolog 1', 'dJ1005F21.2', 'mitochondrial ribosome associated GTPase 2', 'ObgH1', 'MTG2', 'GTP-binding protein 5', 'Mitochondrial ribosome-associated GTPase 2', 'GTPBP5']"
382,Q6PI48,"['DARS2', 'MT-ASPRS', 'aspartyl-tRNA synthetase 2, mitochondrial', 'ASPRS', 'Aspartate--tRNA ligase, mitochondrial', 'LBSL', 'mtAspRS', 'Aspartyl-tRNA synthetase', 'EC 6.1.1.12', 'AspRS']"
383,Q4U2R6,"['Mitochondrial large ribosomal subunit protein mL51', 'bMRP-64', '39S ribosomal protein L51, mitochondrial', 'MRP-L51', 'mitochondrial ribosomal protein L51', 'HSPC241', 'MRP64', 'MRPL51', 'CDA09', 'L51mt', 'bMRP64']"
384,P11498,"['Pyruvic carboxylase', 'Pyruvate carboxylase, mitochondrial', 'PC', 'pyruvate carboxylase', 'EC 6.4.1.1', 'PCB']"
