,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
80,Peroxisomal protein import,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,TP53 Regulates Transcription of Cell Death Genes,RHOG GTPase cycle,Aggrephagy,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Heme biosynthesis,Resolution of Abasic Sites (AP sites),Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Pyruvate metabolism and Citric Acid (TCA) cycle,Metabolism of vitamins and cofactors,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Mitochondrial Fatty Acid Beta-Oxidation,PINK1-PRKN Mediated Mitophagy,Signaling by Nuclear Receptors,Complex I biogenesis,SMAC (DIABLO) binds to IAPs ,Apoptotic cleavage of cell adhesion  proteins,Cytoprotection by HMOX1,
81,Choline catabolism,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,TP53 Regulates Transcription of Cell Cycle Genes,Glucose metabolism,Josephin domain DUBs,Signaling by Rho GTPases,Metabolism of porphyrins,PCNA-Dependent Long Patch Base Excision Repair,Neurodegenerative Diseases,Citric acid cycle (TCA cycle),Beta-oxidation of pristanoyl-CoA,Platelet degranulation ,"Cell death signalling via NRAGE, NRIF and NADE",Mitophagy,Transmission across Chemical Synapses,Cytoprotection by HMOX1,Activation of caspases through apoptosome-mediated cleavage,Signaling by Hippo,Threonine catabolism,
82,Lysine catabolism,Extra-nuclear estrogen signaling,Signaling by Receptor Tyrosine Kinases,Metabolism of carbohydrates,Amyloid fiber formation,Beta-oxidation of very long chain fatty acids,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,POLB-Dependent Long Patch Base Excision Repair,Diseases of programmed cell death,Pyrimidine salvage,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Response to elevated platelet cytosolic Ca2+,p75 NTR receptor-mediated signalling,Caspase activation via Dependence Receptors in the absence of ligand,Neuronal System,Choline catabolism,Hemostasis,Degradation of the extracellular matrix,Biological oxidations,
83,PINK1-PRKN Mediated Mitophagy,Estrogen-dependent gene expression,Signaling by NTRKs,Diseases of programmed cell death,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Immune System,mitochondrial fatty acid beta-oxidation of saturated fatty acids,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Glutathione conjugation,Hemostasis,ABC-family proteins mediated transport,"Platelet activation, signaling and aggregation",Apoptotic execution phase,Signaling by Receptor Tyrosine Kinases,Fatty acyl-CoA biosynthesis,Peroxisomal lipid metabolism,Glycine degradation,"Cell death signalling via NRAGE, NRIF and NADE",Mitochondrial protein import,
84,Mitophagy,ESR-mediated signaling,Transcriptional regulation by RUNX2,Gluconeogenesis,FOXO-mediated transcription,Ub-specific processing proteases,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Base Excision Repair,Coenzyme A biosynthesis,Creatine metabolism,Post-translational protein modification,"SMAC, XIAP-regulated apoptotic response",Biological oxidations,Post-translational protein modification,Phase I - Functionalization of compounds,Apoptotic factor-mediated response,Branched-chain amino acid catabolism,Other interleukin signaling,Release of apoptotic factors from the mitochondria,
85,Selective autophagy,Choline catabolism,Pregnenolone biosynthesis,Innate Immune System,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Deubiquitination,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Vitamin B5 (pantothenate) metabolism,Fatty acid metabolism,ABC transporter disorders,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Iron uptake and transport,Neutrophil degranulation,Platelet degranulation ,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Cytoprotection by HMOX1,Caspase-mediated cleavage of cytoskeletal proteins,Signaling by Retinoic Acid,
86,Macroautophagy,Lysine catabolism,Metabolism of steroid hormones,Choline catabolism,Neurodegenerative Diseases,Post-translational protein modification,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Ub-specific processing proteases,Conjugation of salicylate with glycine,Metabolism of lipids,Disorders of transmembrane transporters,SMAC (DIABLO) binds to IAPs ,Caspase-mediated cleavage of cytoskeletal proteins,Apoptosis induced DNA fragmentation,Response to elevated platelet cytosolic Ca2+,Amine Oxidase reactions,Caspase activation via Dependence Receptors in the absence of ligand,Regulated Necrosis,Mitochondrial iron-sulfur cluster biogenesis,
87,Autophagy,PINK1-PRKN Mediated Mitophagy,Metabolism of steroids,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Diseases of programmed cell death,Sulfide oxidation to sulfate,Pyruvate metabolism and Citric Acid (TCA) cycle,Deubiquitination,Amino Acid conjugation,Platelet degranulation ,"Activation, myristolyation of BID and translocation to mitochondria",Activation of caspases through apoptosome-mediated cleavage,Apoptotic cleavage of cellular proteins,Stimulation of the cell death response by PAK-2p34,"Platelet activation, signaling and aggregation",Metabolic disorders of biological oxidation enzymes,Caspase activation via extrinsic apoptotic signalling pathway,p75 NTR receptor-mediated signalling,Biosynthesis of E-series 18(R)-resolvins,
88,Class I peroxisomal membrane protein import,Mitophagy,Protein localization,Neurodegenerative Diseases,Choline catabolism,Degradation of cysteine and homocysteine,Citric acid cycle (TCA cycle),Metabolism of proteins,Conjugation of carboxylic acids,Response to elevated platelet cytosolic Ca2+,Interleukin-4 and Interleukin-13 signaling,Signaling by Nuclear Receptors,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NADE modulates death signalling,Cytochrome c-mediated apoptotic response,Regulated Necrosis,Platelet degranulation ,Apoptotic cleavage of cellular proteins,Biosynthesis of aspirin-triggered D-series resolvins,
89,Alpha-oxidation of phytanate,Selective autophagy,Cristae formation,Metabolism of water-soluble vitamins and cofactors,Lysine catabolism,Sulfur amino acid metabolism,Complex I biogenesis,Post-translational protein modification,Conjugation of benzoate with glycine,"Platelet activation, signaling and aggregation",Transcriptional activation of mitochondrial biogenesis,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Aggrephagy,Apoptotic cleavage of cell adhesion  proteins,Beta oxidation of butanoyl-CoA to acetyl-CoA,Amino Acid conjugation,Response to elevated platelet cytosolic Ca2+,Death Receptor Signalling,Biosynthesis of E-series 18(S)-resolvins,
90,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Macroautophagy,Mitochondrial protein import,Iron uptake and transport,Mitochondrial protein import,Mitochondrial Fatty Acid Beta-Oxidation,AKT phosphorylates targets in the cytosol,DNA Repair,The fatty acid cycling model,Cristae formation,Fatty acyl-CoA biosynthesis,TP53 Regulates Transcription of Cell Death Genes,Signaling by Receptor Tyrosine Kinases,Signaling by Hippo,Activation of gene expression by SREBF (SREBP),Conjugation of carboxylic acids,"Platelet activation, signaling and aggregation",Extracellular matrix organization,Biosynthesis of D-series resolvins,
91,RND1 GTPase cycle,Autophagy,Pyruvate metabolism and Citric Acid (TCA) cycle,Glycine degradation,Complex I biogenesis,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Constitutive Signaling by AKT1 E17K in Cancer,Pregnenolone biosynthesis,The proton buffering model,Choline catabolism,Heme biosynthesis,Neutrophil degranulation,Neutrophil degranulation,Degradation of the extracellular matrix,Regulation of cholesterol biosynthesis by SREBP (SREBF),Conjugation of benzoate with glycine,Creatine metabolism,Metabolism of vitamins and cofactors,Biosynthesis of EPA-derived SPMs,
92,RND2 GTPase cycle,Innate Immune System,Citric acid cycle (TCA cycle),Hemostasis,Mitochondrial Fatty Acid Beta-Oxidation,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,PI3K/AKT Signaling in Cancer,Metabolism of steroid hormones,Mitochondrial Uncoupling,Lysine catabolism,Metabolism of porphyrins,Mitochondrial protein import,Sulfide oxidation to sulfate,Other interleukin signaling,Estrogen-dependent gene expression,Pyroptosis,Signaling by GPCR,Mitophagy,Biosynthesis of DHA-derived SPMs,
93,Sphingolipid de novo biosynthesis,tRNA modification in the nucleus and cytosol,Fatty acid metabolism,Peroxisomal protein import,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Interleukin-12 signaling,PIP3 activates AKT signaling,Defective HLCS causes multiple carboxylase deficiency,Platelet degranulation ,Transcription from mitochondrial promoters,alpha-linolenic acid (ALA) metabolism,Release of apoptotic factors from the mitochondria,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Extracellular matrix organization,ESR-mediated signaling,Conjugation of salicylate with glycine,Regulation of HSF1-mediated heat shock response,Selective autophagy,Biosynthesis of specialized proresolving mediators (SPMs),
94,RHO GTPase cycle,Metabolism of steroids,Metabolism of nucleotides,Ubiquinol biosynthesis,Mitochondrial calcium ion transport,FOXO-mediated transcription,Intracellular signaling by second messengers,Defects in biotin (Btn) metabolism,Response to elevated platelet cytosolic Ca2+,Mitochondrial transcription initiation,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Apoptotic execution phase,TP53 Regulates Transcription of Cell Death Genes,Phase II - Conjugation of compounds,Degradation of cysteine and homocysteine,Proline catabolism,Cellular response to heat stress,Macroautophagy,Formation of apoptosome,
95,Sphingolipid metabolism,Ub-specific processing proteases,Fatty acyl-CoA biosynthesis,Metabolism of cofactors,Transport of small molecules,Interleukin-12 family signaling,Diseases of signal transduction by growth factor receptors and second messengers,Biotin transport and metabolism,"Platelet activation, signaling and aggregation",Mitochondrial iron-sulfur cluster biogenesis,Mitochondrial translation elongation,Peroxisomal protein import,"Activation, translocation and oligomerization of BAX",NTRK3 as a dependence receptor,Sulfur amino acid metabolism,Mitochondrial protein import,Apoptosis induced DNA fragmentation,Autophagy,Metabolism of nucleotides,
96,Signaling by Rho GTPases,Mitochondrial protein import,alpha-linolenic acid (ALA) metabolism,Regulation of Apoptosis,Miro GTPase Cycle,Signaling by Interleukins,Diseases of metabolism,Defects in vitamin and cofactor metabolism,Hemostasis,Mitochondrial Fatty Acid Beta-Oxidation,Mitochondrial translation,Iron uptake and transport,Apoptosis induced DNA fragmentation,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Beta-oxidation of pristanoyl-CoA,Stimulation of the cell death response by PAK-2p34,Diseases of metabolism,Citric acid cycle (TCA cycle),
97,Synthesis of 12-eicosatetraenoic acid derivatives,ChREBP activates metabolic gene expression,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,RAC2 GTPase cycle,RHOT2 GTPase cycle,Cytokine Signaling in Immune system,Hemostasis,Metabolism of water-soluble vitamins and cofactors,Tyrosine catabolism,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Degradation of cysteine and homocysteine,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Stimulation of the cell death response by PAK-2p34,Signaling by NTRK3 (TRKC),TP53 Regulates Transcription of Cell Death Genes,Cytochrome c-mediated apoptotic response,NADE modulates death signalling,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Metabolism of vitamins and cofactors,
98,Synthesis of 15-eicosatetraenoic acid derivatives,Vitamin B5 (pantothenate) metabolism,Linoleic acid (LA) metabolism,Caspase activation via extrinsic apoptotic signalling pathway,Factors involved in megakaryocyte development and platelet production,Fatty acyl-CoA biosynthesis,Alpha-oxidation of phytanate,ChREBP activates metabolic gene expression,Phenylalanine and tyrosine metabolism,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Sulfur amino acid metabolism,Extra-nuclear estrogen signaling,NADE modulates death signalling,TP53 Regulates Transcription of Cell Cycle Genes,Pregnenolone biosynthesis,Neurotransmitter release cycle,Apoptotic cleavage of cell adhesion  proteins,Neurodegenerative Diseases,Phase II - Conjugation of compounds,
99,Synthesis of 5-eicosatetraenoic acids,Activation of gene expression by SREBF (SREBP),Synthesis of very long-chain fatty acyl-CoAs,Intracellular signaling by second messengers,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Gluconeogenesis,Caspase activation via Dependence Receptors in the absence of ligand,Metabolism of vitamins and cofactors,Aflatoxin activation and detoxification,Beta oxidation of butanoyl-CoA to acetyl-CoA,Pyroptosis,Estrogen-dependent gene expression,Apoptotic cleavage of cell adhesion  proteins,Signaling by NTRKs,Metabolism of steroid hormones,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Signaling by Hippo,Diseases of programmed cell death,SLC-mediated transmembrane transport,
100,Arachidonic acid metabolism,Regulation of cholesterol biosynthesis by SREBP (SREBF),PPARA activates gene expression,Neutrophil degranulation,Ub-specific processing proteases,Glucose metabolism,Caspase activation via extrinsic apoptotic signalling pathway,Carnitine metabolism,Neutrophil degranulation,Signal Transduction,Mitochondrial translation termination,ESR-mediated signaling,Signaling by Hippo,Transcriptional regulation by RUNX2,Defects in vitamin and cofactor metabolism,Synthesis of PE,Degradation of the extracellular matrix,Cristae formation,Apoptosis induced DNA fragmentation,
101,Neutrophil degranulation,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,Regulation of lipid metabolism by PPARalpha,Platelet degranulation ,Pyruvate metabolism,Metabolism of carbohydrates,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Diseases of metabolism,Innate Immune System,Formation of ATP by chemiosmotic coupling,Mitochondrial translation initiation,Cytoprotection by HMOX1,Degradation of the extracellular matrix,Phase I - Functionalization of compounds,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Activation of BH3-only proteins,"Cell death signalling via NRAGE, NRIF and NADE","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Stimulation of the cell death response by PAK-2p34,
102,Innate Immune System,Integration of energy metabolism,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,Response to elevated platelet cytosolic Ca2+,Transcription from mitochondrial promoters,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Integration of energy metabolism,Mitochondrial iron-sulfur cluster biogenesis,Peroxisomal protein import,Platelet degranulation ,Diseases of metabolism,Other interleukin signaling,Deubiquitination,Extra-nuclear estrogen signaling,Release of apoptotic factors from the mitochondria,Other interleukin signaling,FOXO-mediated transcription,NADE modulates death signalling,
103,Beta-oxidation of pristanoyl-CoA,NR1H2 and NR1H3-mediated signaling,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,"Platelet activation, signaling and aggregation",Mitochondrial transcription initiation,Glycerophospholipid biosynthesis,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,,,Complex I biogenesis,Response to elevated platelet cytosolic Ca2+,"Activation, translocation and oligomerization of BAX",Extracellular matrix organization,Transmission across Chemical Synapses,Metabolic disorders of biological oxidation enzymes,Activation of BAD and translocation to mitochondria ,Caspase-mediated cleavage of cytoskeletal proteins,Pyruvate metabolism and Citric Acid (TCA) cycle,Caspase activation via Dependence Receptors in the absence of ligand,N/A
104,Biological oxidations,Hemostasis,Class I peroxisomal membrane protein import,Signaling by GPCR,Apoptotic execution phase,Synthesis of PC,Acyl chain remodeling of CL,,,Purine salvage,"Platelet activation, signaling and aggregation",Caspase activation via extrinsic apoptotic signalling pathway,NTRK3 as a dependence receptor,Neuronal System,Neurotransmitter release cycle,Pregnenolone biosynthesis,p75 NTR receptor-mediated signalling,Sulfide oxidation to sulfate,Caspase activation via extrinsic apoptotic signalling pathway,N/A
105,Apoptosis induced DNA fragmentation,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Apoptosis induced DNA fragmentation,Vitamin B1 (thiamin) metabolism,Antigen processing: Ubiquitination & Proteasome degradation,Phospholipid metabolism,Glycerophospholipid biosynthesis,,,Apoptosis induced DNA fragmentation,Beta-oxidation of very long chain fatty acids,Signaling by Receptor Tyrosine Kinases,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,Activation of BH3-only proteins,Heme biosynthesis,Metabolism of steroid hormones,Apoptotic execution phase,Degradation of cysteine and homocysteine,Apoptotic cleavage of cell adhesion  proteins,N/A
106,Stimulation of the cell death response by PAK-2p34,Transcription from mitochondrial promoters,Stimulation of the cell death response by PAK-2p34,Apoptotic execution phase,Class I MHC mediated antigen processing & presentation,Hemostasis,Phospholipid metabolism,,,Stimulation of the cell death response by PAK-2p34,Activation and oligomerization of BAK protein,NTRK3 as a dependence receptor,Signaling by NTRK3 (TRKC),Complex I biogenesis,Metabolism of porphyrins,Lysine catabolism,Apoptotic cleavage of cellular proteins,Sulfur amino acid metabolism,Signaling by Hippo,N/A
107,NADE modulates death signalling,Resolution of AP sites via the single-nucleotide replacement pathway,NADE modulates death signalling,Defective HLCS causes multiple carboxylase deficiency,Adaptive Immune System,ABC-family proteins mediated transport,Defective HLCS causes multiple carboxylase deficiency,,,NADE modulates death signalling,Scavenging by Class A Receptors,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,TP53 Regulates Transcription of Cell Cycle Genes,Activation of BAD and translocation to mitochondria ,Translation,Signaling by GPCR,Death Receptor Signalling,Alanine metabolism,Degradation of the extracellular matrix,N/A
108,Caspase activation via Dependence Receptors in the absence of ligand,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Caspase activation via Dependence Receptors in the absence of ligand,Defects in biotin (Btn) metabolism,Processing of SMDT1,ABC transporter disorders,Defects in biotin (Btn) metabolism,,,Caspase activation via Dependence Receptors in the absence of ligand,Binding and Uptake of Ligands by Scavenger Receptors,Signaling by NTRK3 (TRKC),Signaling by NTRKs,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Activation of BH3-only proteins,Formation of apoptosome,Extracellular matrix organization,Cytoprotection by HMOX1,"Cell death signalling via NRAGE, NRIF and NADE",N/A
109,Caspase activation via extrinsic apoptotic signalling pathway,Resolution of Abasic Sites (AP sites),Caspase activation via extrinsic apoptotic signalling pathway,Biotin transport and metabolism,Oncogenic MAPK signaling,Disorders of transmembrane transporters,Biotin transport and metabolism,,,Caspase activation via extrinsic apoptotic signalling pathway,Golgi Associated Vesicle Biogenesis,TP53 Regulates Transcription of Cell Cycle Genes,Transcriptional regulation by RUNX2,Infectious disease,Conjugation of salicylate with glycine,Signaling by Nuclear Receptors,mitochondrial fatty acid beta-oxidation of saturated fatty acids,PINK1-PRKN Mediated Mitophagy,Other interleukin signaling,N/A
110,Apoptotic cleavage of cell adhesion  proteins,PCNA-Dependent Long Patch Base Excision Repair,Apoptotic cleavage of cell adhesion  proteins,Defects in vitamin and cofactor metabolism,RAF activation,alpha-linolenic acid (ALA) metabolism,Defects in vitamin and cofactor metabolism,,,Apoptotic cleavage of cell adhesion  proteins,trans-Golgi Network Vesicle Budding,Signaling by NTRKs,Deubiquitination,Neurotransmitter clearance,Amino Acid conjugation,Metabolism of proteins,Heme biosynthesis,Metabolic disorders of biological oxidation enzymes,Caspase-mediated cleavage of cytoskeletal proteins,N/A
111,Signaling by Hippo,POLB-Dependent Long Patch Base Excision Repair,Signaling by Hippo,Diseases of metabolism,Signaling downstream of RAS mutants,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Metabolism of water-soluble vitamins and cofactors,,,Signaling by Hippo,Membrane Trafficking,Transcriptional regulation by RUNX2,Regulation of the apoptosome activity,Peroxisomal lipid metabolism,Conjugation of carboxylic acids,Metabolism of serotonin,Metabolism of porphyrins,Endogenous sterols,p75 NTR receptor-mediated signalling,N/A
112,Degradation of the extracellular matrix,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Degradation of the extracellular matrix,AKT phosphorylates targets in the cytosol,Paradoxical activation of RAF signaling by kinase inactive BRAF,Linoleic acid (LA) metabolism,Metabolism of vitamins and cofactors,,,Degradation of the extracellular matrix,Vesicle-mediated transport,Death Receptor Signalling,Interleukin-4 and Interleukin-13 signaling,Pyruvate metabolism and Citric Acid (TCA) cycle,Conjugation of benzoate with glycine,Serotonin clearance from the synaptic cleft,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Defective CYP27A1 causes CTX,Apoptotic execution phase,N/A
113,"Cell death signalling via NRAGE, NRIF and NADE",Base Excision Repair,"Cell death signalling via NRAGE, NRIF and NADE",Caspase activation via Dependence Receptors in the absence of ligand,Signaling by moderate kinase activity BRAF mutants,Carnitine metabolism,Gluconeogenesis,,,"Cell death signalling via NRAGE, NRIF and NADE",RHO GTPase cycle,Metabolism of steroids,Peroxisomal protein import,Formation of apoptosome,Complex I biogenesis,Creatine metabolism,Biosynthesis of E-series 18(R)-resolvins,Cytochrome P450 - arranged by substrate type,Apoptotic cleavage of cellular proteins,N/A
114,Other interleukin signaling,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Other interleukin signaling,Constitutive Signaling by AKT1 E17K in Cancer,Signaling by RAS mutants,PPARA activates gene expression,Glucose metabolism,,,Other interleukin signaling,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Caspase activation via Dependence Receptors in the absence of ligand,Activation of BH3-only proteins,Threonine catabolism,Glycine degradation,Diseases of signal transduction by growth factor receptors and second messengers,Biosynthesis of aspirin-triggered D-series resolvins,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Death Receptor Signalling,N/A
115,Caspase-mediated cleavage of cytoskeletal proteins,DNA Repair,Caspase-mediated cleavage of cytoskeletal proteins,PI3K/AKT Signaling in Cancer,RAF/MAP kinase cascade,Regulation of lipid metabolism by PPARalpha,Metabolism of carbohydrates,,,Caspase-mediated cleavage of cytoskeletal proteins,Signaling by Rho GTPases,"Cell death signalling via NRAGE, NRIF and NADE",Metabolism of water-soluble vitamins and cofactors,Iron uptake and transport,"Activation, translocation and oligomerization of BAX",Arachidonic acid metabolism,Biosynthesis of E-series 18(S)-resolvins,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Extracellular matrix organization,N/A
116,p75 NTR receptor-mediated signalling,Platelet degranulation ,p75 NTR receptor-mediated signalling,PIP3 activates AKT signaling,MAPK1/MAPK3 signaling,Synthesis of 12-eicosatetraenoic acid derivatives,NOD1/2 Signaling Pathway,,,p75 NTR receptor-mediated signalling,"Cell death signalling via NRAGE, NRIF and NADE",p75 NTR receptor-mediated signalling,The NLRP1 inflammasome,Metabolism of vitamins and cofactors,Release of apoptotic factors from the mitochondria,Synthesis of 12-eicosatetraenoic acid derivatives,Biosynthesis of D-series resolvins,Synthesis of bile acids and bile salts,Nucleotide salvage,N/A
117,Apoptotic execution phase,Response to elevated platelet cytosolic Ca2+,Apoptotic cleavage of cellular proteins,Diseases of signal transduction by growth factor receptors and second messengers,MAPK family signaling cascades,Synthesis of 15-eicosatetraenoic acid derivatives,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",,,Apoptotic execution phase,p75 NTR receptor-mediated signalling,Caspase-mediated cleavage of cytoskeletal proteins,Activation of BAD and translocation to mitochondria ,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Cytochrome P450 - arranged by substrate type,Synthesis of 15-eicosatetraenoic acid derivatives,Biosynthesis of EPA-derived SPMs,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Purine salvage,N/A
118,Apoptotic cleavage of cellular proteins,"Platelet activation, signaling and aggregation",Death Receptor Signalling,Ion homeostasis,Diseases of signal transduction by growth factor receptors and second messengers,Synthesis of 5-eicosatetraenoic acids,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,,,Apoptotic cleavage of cellular proteins,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Apoptotic cleavage of cellular proteins,Inflammasomes,Amine Oxidase reactions,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Synthesis of 5-eicosatetraenoic acids,Biosynthesis of DHA-derived SPMs,Bile acid and bile salt metabolism,Mitochondrial Fatty Acid Beta-Oxidation,N/A
119,Death Receptor Signalling,Mitochondrial tRNA aminoacylation,Extracellular matrix organization,Cardiac conduction,Synthesis of 12-eicosatetraenoic acid derivatives,Arachidonic acid metabolism,Synthesis of bile acids and bile salts,,,Death Receptor Signalling,Synthesis of bile acids and bile salts,Metabolism of vitamins and cofactors,Regulation of HSF1-mediated heat shock response,Branched-chain amino acid catabolism,"SMAC, XIAP-regulated apoptotic response",Defective MAOA causes BRUNS,Biosynthesis of specialized proresolving mediators (SPMs),Metabolism of steroids,Metabolism of proteins,N/A
120,Extracellular matrix organization,tRNA Aminoacylation,Interleukin-4 and Interleukin-13 signaling,DARPP-32 events,Synthesis of 15-eicosatetraenoic acid derivatives,Reversible hydration of carbon dioxide,Bile acid and bile salt metabolism,,,Extracellular matrix organization,Bile acid and bile salt metabolism,Apoptosis induced DNA fragmentation,Cellular response to heat stress,Diseases of signal transduction by growth factor receptors and second messengers,SMAC (DIABLO) binds to IAPs ,Norepinephrine Neurotransmitter Release Cycle,Molybdenum cofactor biosynthesis,Platelet degranulation ,Post-translational protein modification,N/A
121,Mitochondrial protein import,The NLRP1 inflammasome,Phase I - Functionalization of compounds,Muscle contraction,Synthesis of 5-eicosatetraenoic acids,cGMP effects,Metabolism of steroids,,,Class I peroxisomal membrane protein import,Regulation of HSF1-mediated heat shock response,Stimulation of the cell death response by PAK-2p34,SUMOylation of transcription cofactors,The NLRP1 inflammasome,Activation of BAD and translocation to mitochondria ,Glutamate and glutamine metabolism,DNA Repair,Response to elevated platelet cytosolic Ca2+,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,N/A
122,Metabolism of steroids,Activation of BAD and translocation to mitochondria ,Biological oxidations,Factors involved in megakaryocyte development and platelet production,Arachidonic acid metabolism,Nitric oxide stimulates guanylate cyclase,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,,,Synthesis of 12-eicosatetraenoic acid derivatives,Cellular response to heat stress,NADE modulates death signalling,SUMO E3 ligases SUMOylate target proteins,Inflammasomes,Neutrophil degranulation,Glyoxylate metabolism and glycine degradation,Peptide ligand-binding receptors,"Platelet activation, signaling and aggregation",Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,N/A
123,Miro GTPase Cycle,Activation of BH3-only proteins,Pyrimidine salvage,"Interleukin-3, Interleukin-5 and GM-CSF signaling",Platelet degranulation ,G alpha (s) signalling events,Neurodegenerative Diseases,,,Synthesis of 15-eicosatetraenoic acid derivatives,The NLRP1 inflammasome,Apoptotic cleavage of cell adhesion  proteins,SUMOylation,Metabolism of steroid hormones,Activation of caspases through apoptosome-mediated cleavage,Cristae formation,Class A/1 (Rhodopsin-like receptors),Glycerophospholipid biosynthesis,Interactions of Vpr with host cellular proteins,N/A
124,RHOT2 GTPase cycle,Inflammasomes,Nucleotide salvage,Opioid Signalling,Response to elevated platelet cytosolic Ca2+,Platelet homeostasis,Diseases of programmed cell death,,,Synthesis of 5-eicosatetraenoic acids,Inflammasomes,Signaling by Hippo,Heme biosynthesis,Pregnenolone biosynthesis,Pyruvate metabolism and Citric Acid (TCA) cycle,Translation,GPCR ligand binding,Phospholipid metabolism,"Transport of vitamins, nucleosides, and related molecules",N/A
125,Factors involved in megakaryocyte development and platelet production,Interleukin-4 and Interleukin-13 signaling,Pyrimidine biosynthesis,G alpha (i) signalling events,"Platelet activation, signaling and aggregation",GPCR downstream signalling,cGMP effects,,,Arachidonic acid metabolism,Glyoxylate metabolism and glycine degradation,Degradation of the extracellular matrix,Metabolism of porphyrins,Enzymatic degradation of Dopamine by monoamine oxidase,Interleukin-4 and Interleukin-13 signaling,"SMAC, XIAP-regulated apoptotic response",Resolution of Abasic Sites (AP sites),Ubiquinol biosynthesis,Host Interactions of HIV factors,N/A
